,Name,License
0,,
1,,custom
2,,custom
3,,custom
4,torchxrayvision_resnet101_elastic_ae_padchest_nih_chexpert_mimic_nb_mimic_ch_11,apache-2.0
5,alexnet_imagenet_11,bsd-3-clause
6,inception_v3_imagenet_11,bsd-3-clause
7,resnet152_imagenet_11,bsd-3-clause
8,shufflenet_v2_x1_0_imagenet_11,bsd-3-clause
9,vgg19_bn_imagenet_11,bsd-3-clause
10,,apache-2.0
11,,apache-2.0
12,,apache-2.0
13,deit_base_patch16_224_imagenet_11,apache-2.0
14,zfnet512-9,apache-2.0
15,mnist-8,apache-2.0
16,emotion-ferplus-8,apache-2.0
17,age_googlenet,apache-2.0
18,vgg_ilsvrc_16_gender_imdb_wiki,apache-2.0
19,agripredict_disease_classification_prop_11,bsd-3-clause
20,densenet161_places365_11,mit
21,torchxrayvision_densenet121_all_11,apache-2.0
22,ukbiobank_deep_brain_age_ukbiobank_11,
23,resnet18_imagenet_11,bsd-3-clause
24,resnet50_imagenet_11,bsd-3-clause
25,densenet121_imagenet_11,bsd-3-clause
26,densenet161_imagenet_11,bsd-3-clause
27,densenet169_imagenet_11,bsd-3-clause
28,densenet201_imagenet_11,bsd-3-clause
29,googlenet_imagenet_11,bsd-3-clause
30,mnasnet0_5_imagenet_11,bsd-3-clause
31,mnasnet1_0_imagenet_11,bsd-3-clause
32,mobilenet_v2_imagenet_11,bsd-3-clause
33,resnet101_imagenet_11,bsd-3-clause
34,resnet34_imagenet_11,bsd-3-clause
35,resnext101_32x8d_imagenet_11,bsd-3-clause
36,resnext50_32x4d_imagenet_11,bsd-3-clause
37,shufflenet_v2_x0_5_imagenet_11,bsd-3-clause
38,squeezenet1_0_imagenet_11,bsd-3-clause
39,squeezenet1_1_imagenet_11,bsd-3-clause
40,vgg11_imagenet_11,bsd-3-clause
41,vgg11_bn_imagenet_11,bsd-3-clause
42,vgg13_imagenet_11,bsd-3-clause
43,vgg13_bn_imagenet_11,bsd-3-clause
44,vgg16_imagenet_11,bsd-3-clause
45,vgg16_bn_imagenet_11,bsd-3-clause
46,vgg19_imagenet_11,bsd-3-clause
47,wide_resnet101_2_imagenet_11,bsd-3-clause
48,wide_resnet50_2_imagenet_11,bsd-3-clause
49,,apache-2.0
50,,apache-2.0
51,,apache-2.0
52,,apache-2.0
53,,apache-2.0
54,,apache-2.0
55,,apache-2.0
56,,apache-2.0
57,,apache-2.0
58,,apache-2.0
59,,apache-2.0
60,,apache-2.0
61,,apache-2.0
62,,apache-2.0
63,,apache-2.0
64,efficientnet-lite4-11,apache-2.0
65,,
66,,
67,,
68,,
69,,
70,,mit
71,,mit
72,,mit
73,alexnet_places365_11,mit
74,,mit
75,,mit
76,,mit
77,,mit
78,,mit
79,,mit
80,resnet50_places365_11,mit
81,resnet18_places365_11,mit
82,,
83,,
84,,
85,,
86,,
87,,
88,,
89,torchxrayvision_densenet121_kaggle_11,apache-2.0
90,torchxrayvision_densenet121_nih_11,apache-2.0
91,torchxrayvision_densenet121_pc_11,apache-2.0
92,torchxrayvision_densenet121_chex_11,apache-2.0
93,torchxrayvision_densenet121_mimic_nb_11,apache-2.0
94,torchxrayvision_densenet121_mimic_ch_11,apache-2.0
95,torchxrayvision_resnet50_512_all_11,apache-2.0
96,deit_small_patch16_224_imagenet_11,apache-2.0
97,deit_base_distilled_patch16_384_imagenet_11,apache-2.0
98,deit_base_distilled_patch16_224_imagenet_11,apache-2.0
99,deit_tiny_patch16_224_imagenet_11,apache-2.0
100,deit_tiny_distilled_patch16_224_imagenet_11,apache-2.0
101,deit_base_patch16_384_imagenet_11,apache-2.0
102,deit_small_distilled_patch16_224_imagenet_11,apache-2.0
103,ukbiobank_deep_sex_prediction_ukbiobank_11,
104,,apache-2.0
105,,apache-2.0
106,,apache-2.0
107,,apache-2.0
108,,apache-2.0
109,,apache-2.0
110,,apache-2.0
111,,apache-2.0
112,,apache-2.0
113,,apache-2.0
114,,apache-2.0
115,,apache-2.0
116,,apache-2.0
117,,apache-2.0
118,,apache-2.0
119,hardnet68_imagenet_11,mit
120,hardnet68ds_imagenet_11,mit
121,hardnet39ds_imagenet_11,mit
122,hardnet85_imagenet_11,mit
123,ghostnet_1x_imagenet_11,
124,ntsnet_cub2002011_11,mit
125,mealv1_resnest50_imagenet_11,
126,mealv2_resnest50_imagenet_11,
127,mealv2_resnest50_cutmix_imagenet_11,
128,mealv2_resnest50_380x380_imagenet_11,
129,mealv2_mobilenetv3_small_075_imagenet_11,
130,mealv2_mobilenetv3_small_100_imagenet_11,
131,mealv2_mobilenet_v3_large_100_imagenet_11,
132,mealv2_efficientnet_b0_imagenet_11,
133,tinynet_a_imagenet_11,
134,tinynet_b_imagenet_11,
135,tinynet_c_imagenet_11,
136,tinynet_d_imagenet_11,
137,tinynet_e_imagenet_11,
138,alexnet_untrained_11,bsd-3-clause
139,densenet121_untrained_11,bsd-3-clause
140,densenet161_untrained_11,bsd-3-clause
141,densenet169_untrained_11,bsd-3-clause
142,densenet201_untrained_11,bsd-3-clause
143,googlenet_untrained_11,bsd-3-clause
144,inception_v3_untrained_11,bsd-3-clause
145,mnasnet0_5_untrained_11,bsd-3-clause
146,mnasnet0_75_untrained_11,bsd-3-clause
147,mnasnet1_0_untrained_11,bsd-3-clause
148,mnasnet1_3_untrained_11,bsd-3-clause
149,mobilenet_v2_untrained_11,bsd-3-clause
150,resnet101_untrained_11,bsd-3-clause
151,resnet152_untrained_11,bsd-3-clause
152,resnet18_untrained_11,bsd-3-clause
153,resnet34_untrained_11,bsd-3-clause
154,resnet50_untrained_11,bsd-3-clause
155,resnext101_32x8d_untrained_11,bsd-3-clause
156,resnext50_32x4d_untrained_11,bsd-3-clause
157,shufflenet_v2_x0_5_untrained_11,bsd-3-clause
158,shufflenet_v2_x1_0_untrained_11,bsd-3-clause
159,shufflenet_v2_x1_5_untrained_11,bsd-3-clause
160,shufflenet_v2_x2_0_untrained_11,bsd-3-clause
161,squeezenet1_0_untrained_11,bsd-3-clause
162,squeezenet1_1_untrained_11,bsd-3-clause
163,vgg11_bn_untrained_11,bsd-3-clause
164,vgg11_untrained_11,bsd-3-clause
165,vgg13_bn_untrained_11,bsd-3-clause
166,vgg13_untrained_11,bsd-3-clause
167,vgg16_bn_untrained_11,bsd-3-clause
168,vgg16_untrained_11,bsd-3-clause
169,vgg19_bn_untrained_11,bsd-3-clause
170,vgg19_untrained_11,bsd-3-clause
171,wide_resnet101_2_untrained_11,bsd-3-clause
172,wide_resnet50_2_untrained_11,bsd-3-clause
173,resnet50_fractalDB1k_11,mit
174,resnet50_fractalDB10k_11,mit
175,resnet18_0_cifar10_11,
176,resnet18_1_cifar10_11,
177,resnet18_2_cifar10_11,
178,resnet18_7_cifar10_11,
179,resnet18_8_cifar10_11,
180,resnet18_10_cifar10_11,
181,resnet18_11_cifar10_11,
182,resnet18_13_cifar10_11,
183,resnet18_16_cifar10_11,
184,resnet18_18_cifar10_11,
185,resnet18_3_pretrained_cifar10_11,
186,resnet18_4_pretrained_cifar10_11,
187,resnet18_5_pretrained_cifar10_11,
188,resnet18_6_pretrained_cifar10_11,
189,resnet18_9_pretrained_cifar10_11,
190,resnet18_12_pretrained_cifar10_11,
191,resnet18_14_pretrained_cifar10_11,
192,resnet18_15_pretrained_cifar10_11,
193,resnet18_17_pretrained_cifar10_11,
194,resnet18_19_pretrained_cifar10_11,
195,hso_lowres_resnet9_cifar10_11,mit
196,hso_lowres_vgg11_cifar10_11,mit
197,hso_lowres_vgg19_cifar10_11,mit
198,hso_lowres_vgg11_bn_cifar10_11,mit
199,hso_lowres_resnet101_cifar10_11,mit
200,hso_lowres_vgg16_bn_cifar10_11,mit
201,hso_lowres_resnet50_cifar10_11,mit
202,hso_lowres_resnet34_cifar10_11,mit
203,hso_lowres_resnet152_cifar10_11,mit
204,hso_lowres_resnet18_cifar10_11,mit
205,hso_lowres_resnet18_noresidual_cifar10_11,mit
206,hso_lowres_vgg19_bn_cifar10_11,mit
207,hso_lowres_vgg13_cifar10_11,mit
208,hso_lowres_inception_v3_cifar10_11,mit
209,hso_lowres_densenet161_cifar10_11,mit
210,hso_lowres_mobilenet_v2_cifar10_11,mit
211,hso_lowres_densenet169_cifar10_11,mit
212,hso_lowres_resnet14_cifar10_11,mit
213,hso_lowres_densenet121_cifar10_11,mit
214,hso_lowres_googlenet_cifar10_11,mit
215,hso_lowres_alexnet_cifar10_11,mit
216,hso_lowres_vgg13_bn_cifar10_11,mit
217,hso_lowres_vgg16_cifar10_11,mit
218,hso_lowres_resnet9_cifar100_11,mit
219,hso_lowres_vgg11_cifar100_11,mit
220,hso_lowres_vgg19_cifar100_11,mit
221,hso_lowres_vgg11_bn_cifar100_11,mit
222,hso_lowres_resnet101_cifar100_11,mit
223,hso_lowres_vgg16_bn_cifar100_11,mit
224,hso_lowres_resnet50_cifar100_11,mit
225,hso_lowres_resnet34_cifar100_11,mit
226,hso_lowres_resnet152_cifar100_11,mit
227,hso_lowres_resnet18_cifar100_11,mit
228,hso_lowres_resnet18_noresidual_cifar100_11,mit
229,hso_lowres_vgg19_bn_cifar100_11,mit
230,hso_lowres_vgg13_cifar100_11,mit
231,hso_lowres_inception_v3_cifar100_11,mit
232,hso_lowres_densenet161_cifar100_11,mit
233,hso_lowres_mobilenet_v2_cifar100_11,mit
234,hso_lowres_densenet169_cifar100_11,mit
235,hso_lowres_resnet14_cifar100_11,mit
236,hso_lowres_densenet121_cifar100_11,mit
237,hso_lowres_googlenet_cifar100_11,mit
238,hso_lowres_alexnet_cifar100_11,mit
239,hso_lowres_vgg13_bn_cifar100_11,mit
240,hso_lowres_vgg16_cifar100_11,mit
241,hso_lowres_resnet9_mnist_11,mit
242,hso_lowres_vgg11_mnist_11,mit
243,hso_lowres_vgg19_mnist_11,mit
244,hso_lowres_vgg11_bn_mnist_11,mit
245,hso_lowres_resnet101_mnist_11,mit
246,hso_lowres_vgg16_bn_mnist_11,mit
247,hso_lowres_resnet50_mnist_11,mit
248,hso_lowres_resnet34_mnist_11,mit
249,hso_lowres_resnet152_mnist_11,mit
250,hso_lowres_resnet18_mnist_11,mit
251,hso_lowres_resnet18_noresidual_mnist_11,mit
252,hso_lowres_vgg19_bn_mnist_11,mit
253,hso_lowres_vgg13_mnist_11,mit
254,hso_lowres_inception_v3_mnist_11,mit
255,hso_lowres_densenet161_mnist_11,mit
256,hso_lowres_mobilenet_v2_mnist_11,mit
257,hso_lowres_densenet169_mnist_11,mit
258,hso_lowres_resnet14_mnist_11,mit
259,hso_lowres_densenet121_mnist_11,mit
260,hso_lowres_googlenet_mnist_11,mit
261,hso_lowres_alexnet_mnist_11,mit
262,hso_lowres_vgg13_bn_mnist_11,mit
263,hso_lowres_vgg16_mnist_11,mit
264,hso_lowres_resnet9_kmnist_11,mit
265,hso_lowres_vgg11_kmnist_11,mit
266,hso_lowres_vgg19_kmnist_11,mit
267,hso_lowres_vgg11_bn_kmnist_11,mit
268,hso_lowres_resnet101_kmnist_11,mit
269,hso_lowres_vgg16_bn_kmnist_11,mit
270,hso_lowres_resnet50_kmnist_11,mit
271,hso_lowres_resnet34_kmnist_11,mit
272,hso_lowres_resnet152_kmnist_11,mit
273,hso_lowres_resnet18_kmnist_11,mit
274,hso_lowres_resnet18_noresidual_kmnist_11,mit
275,hso_lowres_vgg19_bn_kmnist_11,mit
276,hso_lowres_vgg13_kmnist_11,mit
277,hso_lowres_inception_v3_kmnist_11,mit
278,hso_lowres_densenet161_kmnist_11,mit
279,hso_lowres_mobilenet_v2_kmnist_11,mit
280,hso_lowres_densenet169_kmnist_11,mit
281,hso_lowres_resnet14_kmnist_11,mit
282,hso_lowres_densenet121_kmnist_11,mit
283,hso_lowres_googlenet_kmnist_11,mit
284,hso_lowres_alexnet_kmnist_11,mit
285,hso_lowres_vgg13_bn_kmnist_11,mit
286,hso_lowres_vgg16_kmnist_11,mit
287,hso_lowres_resnet9_fashionmnist_11,mit
288,hso_lowres_vgg11_fashionmnist_11,mit
289,hso_lowres_vgg19_fashionmnist_11,mit
290,hso_lowres_vgg11_bn_fashionmnist_11,mit
291,hso_lowres_resnet101_fashionmnist_11,mit
292,hso_lowres_vgg16_bn_fashionmnist_11,mit
293,hso_lowres_resnet50_fashionmnist_11,mit
294,hso_lowres_resnet34_fashionmnist_11,mit
295,hso_lowres_resnet152_fashionmnist_11,mit
296,hso_lowres_resnet18_fashionmnist_11,mit
297,hso_lowres_resnet18_noresidual_fashionmnist_11,mit
298,hso_lowres_vgg19_bn_fashionmnist_11,mit
299,hso_lowres_vgg13_fashionmnist_11,mit
300,hso_lowres_inception_v3_fashionmnist_11,mit
301,hso_lowres_densenet161_fashionmnist_11,mit
302,hso_lowres_mobilenet_v2_fashionmnist_11,mit
303,hso_lowres_densenet169_fashionmnist_11,mit
304,hso_lowres_resnet14_fashionmnist_11,mit
305,hso_lowres_densenet121_fashionmnist_11,mit
306,hso_lowres_googlenet_fashionmnist_11,mit
307,hso_lowres_alexnet_fashionmnist_11,mit
308,hso_lowres_vgg13_bn_fashionmnist_11,mit
309,hso_lowres_vgg16_fashionmnist_11,mit
310,timm_adv_inception_v3_imagenet_11,apache-2.0
311,timm_coat_lite_mini_imagenet_11,apache-2.0
312,timm_coat_lite_small_imagenet_11,apache-2.0
313,timm_coat_lite_tiny_imagenet_11,apache-2.0
314,timm_coat_mini_imagenet_11,apache-2.0
315,timm_coat_tiny_imagenet_11,apache-2.0
316,timm_cspdarknet53_imagenet_11,apache-2.0
317,timm_cspresnet50_imagenet_11,apache-2.0
318,timm_cspresnext50_imagenet_11,apache-2.0
319,timm_densenet121_imagenet_11,apache-2.0
320,timm_densenetblur121d_imagenet_11,apache-2.0
321,timm_dla34_imagenet_11,apache-2.0
322,timm_dla46_c_imagenet_11,apache-2.0
323,timm_dla46x_c_imagenet_11,apache-2.0
324,timm_dla60_imagenet_11,apache-2.0
325,timm_dla60_res2net_imagenet_11,apache-2.0
326,timm_dla60_res2next_imagenet_11,apache-2.0
327,timm_dla60x_imagenet_11,apache-2.0
328,timm_dla60x_c_imagenet_11,apache-2.0
329,timm_dla102_imagenet_11,apache-2.0
330,timm_dla102x_imagenet_11,apache-2.0
331,timm_dla102x2_imagenet_11,apache-2.0
332,timm_dla169_imagenet_11,apache-2.0
333,timm_dpn68_imagenet_11,apache-2.0
334,timm_dpn68b_imagenet_11,apache-2.0
335,timm_dpn92_imagenet_11,apache-2.0
336,timm_dpn98_imagenet_11,apache-2.0
337,timm_dpn107_imagenet_11,apache-2.0
338,timm_dpn131_imagenet_11,apache-2.0
339,timm_ecaresnet26t_imagenet_11,apache-2.0
340,timm_ecaresnet50d_imagenet_11,apache-2.0
341,timm_ecaresnet50d_pruned_imagenet_11,apache-2.0
342,timm_ecaresnet50t_imagenet_11,apache-2.0
343,timm_ecaresnet101d_imagenet_11,apache-2.0
344,timm_ecaresnet101d_pruned_imagenet_11,apache-2.0
345,timm_ecaresnet269d_imagenet_11,apache-2.0
346,timm_ecaresnetlight_imagenet_11,apache-2.0
347,timm_efficientnet_b0_imagenet_11,apache-2.0
348,timm_efficientnet_b1_imagenet_11,apache-2.0
349,timm_efficientnet_b1_pruned_imagenet_11,apache-2.0
350,timm_efficientnet_b2_imagenet_11,apache-2.0
351,timm_efficientnet_b2_pruned_imagenet_11,apache-2.0
352,timm_efficientnet_b3_imagenet_11,apache-2.0
353,timm_efficientnet_b3_pruned_imagenet_11,apache-2.0
354,timm_efficientnet_b4_imagenet_11,apache-2.0
355,timm_efficientnet_el_imagenet_11,apache-2.0
356,timm_efficientnet_el_pruned_imagenet_11,apache-2.0
357,timm_efficientnet_em_imagenet_11,apache-2.0
358,timm_efficientnet_es_imagenet_11,apache-2.0
359,timm_efficientnet_es_pruned_imagenet_11,apache-2.0
360,timm_efficientnet_lite0_imagenet_11,apache-2.0
361,timm_efficientnetv2_rw_m_imagenet_11,apache-2.0
362,timm_efficientnetv2_rw_s_imagenet_11,apache-2.0
363,timm_ens_adv_inception_resnet_v2_imagenet_11,apache-2.0
364,timm_ese_vovnet19b_dw_imagenet_11,apache-2.0
365,timm_ese_vovnet39b_imagenet_11,apache-2.0
366,timm_fbnetc_100_imagenet_11,apache-2.0
367,timm_gernet_l_imagenet_11,apache-2.0
368,timm_gernet_m_imagenet_11,apache-2.0
369,timm_gernet_s_imagenet_11,apache-2.0
370,timm_ghostnet_100_imagenet_11,apache-2.0
371,timm_gluon_inception_v3_imagenet_11,apache-2.0
372,timm_gluon_resnet18_v1b_imagenet_11,apache-2.0
373,timm_gluon_resnet34_v1b_imagenet_11,apache-2.0
374,timm_gluon_resnet50_v1b_imagenet_11,apache-2.0
375,timm_gluon_resnet50_v1c_imagenet_11,apache-2.0
376,timm_gluon_resnet50_v1d_imagenet_11,apache-2.0
377,timm_gluon_resnet50_v1s_imagenet_11,apache-2.0
378,timm_gluon_resnet101_v1b_imagenet_11,apache-2.0
379,timm_gluon_resnet101_v1c_imagenet_11,apache-2.0
380,timm_gluon_resnet101_v1d_imagenet_11,apache-2.0
381,timm_gluon_resnet101_v1s_imagenet_11,apache-2.0
382,timm_gluon_resnet152_v1b_imagenet_11,apache-2.0
383,timm_gluon_resnet152_v1c_imagenet_11,apache-2.0
384,timm_gluon_resnet152_v1d_imagenet_11,apache-2.0
385,timm_gluon_resnet152_v1s_imagenet_11,apache-2.0
386,timm_gluon_resnext50_32x4d_imagenet_11,apache-2.0
387,timm_gluon_resnext101_32x4d_imagenet_11,apache-2.0
388,timm_gluon_resnext101_64x4d_imagenet_11,apache-2.0
389,timm_gluon_senet154_imagenet_11,apache-2.0
390,timm_gluon_seresnext50_32x4d_imagenet_11,apache-2.0
391,timm_gluon_seresnext101_32x4d_imagenet_11,apache-2.0
392,timm_gluon_seresnext101_64x4d_imagenet_11,apache-2.0
393,timm_gluon_xception65_imagenet_11,apache-2.0
394,timm_hardcorenas_a_imagenet_11,apache-2.0
395,timm_hardcorenas_b_imagenet_11,apache-2.0
396,timm_hardcorenas_c_imagenet_11,apache-2.0
397,timm_hardcorenas_d_imagenet_11,apache-2.0
398,timm_hardcorenas_e_imagenet_11,apache-2.0
399,timm_hardcorenas_f_imagenet_11,apache-2.0
400,timm_hrnet_w18_imagenet_11,apache-2.0
401,timm_hrnet_w18_small_imagenet_11,apache-2.0
402,timm_hrnet_w18_small_v2_imagenet_11,apache-2.0
403,timm_hrnet_w30_imagenet_11,apache-2.0
404,timm_hrnet_w32_imagenet_11,apache-2.0
405,timm_hrnet_w40_imagenet_11,apache-2.0
406,timm_hrnet_w44_imagenet_11,apache-2.0
407,timm_hrnet_w48_imagenet_11,apache-2.0
408,timm_hrnet_w64_imagenet_11,apache-2.0
409,timm_inception_resnet_v2_imagenet_11,apache-2.0
410,timm_inception_v4_imagenet_11,apache-2.0
411,timm_legacy_senet154_imagenet_11,apache-2.0
412,timm_legacy_seresnet18_imagenet_11,apache-2.0
413,timm_legacy_seresnet34_imagenet_11,apache-2.0
414,timm_legacy_seresnet50_imagenet_11,apache-2.0
415,timm_legacy_seresnet101_imagenet_11,apache-2.0
416,timm_legacy_seresnet152_imagenet_11,apache-2.0
417,timm_legacy_seresnext26_32x4d_imagenet_11,apache-2.0
418,timm_legacy_seresnext50_32x4d_imagenet_11,apache-2.0
419,timm_legacy_seresnext101_32x4d_imagenet_11,apache-2.0
420,timm_mixnet_l_imagenet_11,apache-2.0
421,timm_mixnet_m_imagenet_11,apache-2.0
422,timm_mixnet_s_imagenet_11,apache-2.0
423,timm_mixnet_xl_imagenet_11,apache-2.0
424,timm_mnasnet_100_imagenet_11,apache-2.0
425,timm_mobilenetv2_100_imagenet_11,apache-2.0
426,timm_mobilenetv2_110d_imagenet_11,apache-2.0
427,timm_mobilenetv2_120d_imagenet_11,apache-2.0
428,timm_mobilenetv2_140_imagenet_11,apache-2.0
429,timm_mobilenetv3_large_100_imagenet_11,apache-2.0
430,timm_mobilenetv3_large_100_miil_imagenet_11,apache-2.0
431,timm_mobilenetv3_large_100_miil_in21k_imagenet21k_p_11,apache-2.0
432,timm_mobilenetv3_rw_imagenet_11,apache-2.0
433,timm_nasnetalarge_imagenet_11,apache-2.0
434,timm_pit_b_224_imagenet_11,apache-2.0
435,timm_pit_b_distilled_224_imagenet_11,apache-2.0
436,timm_pit_s_224_imagenet_11,apache-2.0
437,timm_pit_s_distilled_224_imagenet_11,apache-2.0
438,timm_pit_ti_224_imagenet_11,apache-2.0
439,timm_pit_ti_distilled_224_imagenet_11,apache-2.0
440,timm_pit_xs_224_imagenet_11,apache-2.0
441,timm_pit_xs_distilled_224_imagenet_11,apache-2.0
442,timm_pnasnet5large_imagenet_11,apache-2.0
443,timm_regnetx_002_imagenet_11,apache-2.0
444,timm_regnetx_004_imagenet_11,apache-2.0
445,timm_regnetx_006_imagenet_11,apache-2.0
446,timm_regnetx_008_imagenet_11,apache-2.0
447,timm_regnetx_016_imagenet_11,apache-2.0
448,timm_regnetx_032_imagenet_11,apache-2.0
449,timm_regnetx_040_imagenet_11,apache-2.0
450,timm_regnetx_064_imagenet_11,apache-2.0
451,timm_regnetx_080_imagenet_11,apache-2.0
452,timm_regnetx_120_imagenet_11,apache-2.0
453,timm_regnetx_160_imagenet_11,apache-2.0
454,timm_regnetx_320_imagenet_11,apache-2.0
455,timm_regnety_002_imagenet_11,apache-2.0
456,timm_regnety_004_imagenet_11,apache-2.0
457,timm_regnety_006_imagenet_11,apache-2.0
458,timm_regnety_008_imagenet_11,apache-2.0
459,timm_regnety_016_imagenet_11,apache-2.0
460,timm_regnety_032_imagenet_11,apache-2.0
461,timm_regnety_040_imagenet_11,apache-2.0
462,timm_regnety_064_imagenet_11,apache-2.0
463,timm_regnety_080_imagenet_11,apache-2.0
464,timm_regnety_120_imagenet_11,apache-2.0
465,timm_regnety_160_imagenet_11,apache-2.0
466,timm_regnety_320_imagenet_11,apache-2.0
467,timm_repvgg_a2_imagenet_11,apache-2.0
468,timm_repvgg_b0_imagenet_11,apache-2.0
469,timm_repvgg_b1_imagenet_11,apache-2.0
470,timm_repvgg_b1g4_imagenet_11,apache-2.0
471,timm_repvgg_b2_imagenet_11,apache-2.0
472,timm_repvgg_b2g4_imagenet_11,apache-2.0
473,timm_repvgg_b3_imagenet_11,apache-2.0
474,timm_repvgg_b3g4_imagenet_11,apache-2.0
475,timm_res2net50_14w_8s_imagenet_11,apache-2.0
476,timm_res2net50_26w_4s_imagenet_11,apache-2.0
477,timm_res2net50_26w_6s_imagenet_11,apache-2.0
478,timm_res2net50_26w_8s_imagenet_11,apache-2.0
