,name,random_successful,error_random,image_successful,error_image
0,unet_carvana_carvana_11,True,NaN,True,NaN
1,agripredict_disease_classification_prop_11,True,NaN,True,NaN
2,tinynet_c_imagenet_11,True,NaN,True,NaN
3,pix2pix_map2sat_g_11,True,NaN,True,NaN
4,cyclegan_apple2orange_g_11,True,NaN,True,NaN
5,pytorchencoding_deeplab_resnest200_ade_11,True,NaN,True,NaN
6,compnet_weights_axial_improvement_08_NITRC_IITmean_b0_256_12,True,NaN,True,NaN
7,pgan_celeba_cropped_gen_11,True,NaN,True,NaN
8,cyclegan_cityscapes_label2photo_g_11,True,NaN,True,NaN
9,pytorchencoding_fcn_resnest50_pcontext_11,True,NaN,True,NaN
10,realesrganx4_custom_11,True,NaN,True,NaN
11,pgan_celebahq_512_disc_11,True,NaN,True,NaN
12,pgan_dtd_gen_11,True,NaN,True,NaN
13,pgan_celebahq_512_gen_11,True,NaN,True,NaN
14,torchseg_pspnet_R101_v1c_ade_11,True,NaN,True,NaN
15,facebook_detr_resnet_50_dc5_panoptic_coco2017_12,True,NaN,True,NaN
16,mealv2_mobilenet_v3_large_100_imagenet_11,True,NaN,True,NaN
17,torchseg_dfn_R101_v1c_voc_11,True,NaN,True,NaN
18,deit_base_patch16_384_imagenet_11,True,NaN,True,NaN
19,midas_small_redweb_diml_movies_megadepth_wsvd_tartanair_hrwsi_apolloscape_blendedmvs_irs_11,True,NaN,True,NaN
20,hardnet39ds_imagenet_11,True,NaN,True,NaN
21,cyclegan_sat2map_g_11,True,NaN,True,NaN
22,deit_base_patch16_224_imagenet_11,True,NaN,True,NaN
23,cyclegan_map2sat_g_11,True,NaN,True,NaN
24,tinynet_a_imagenet_11,True,NaN,True,NaN
25,mealv2_mobilenetv3_small_075_imagenet_11,True,NaN,True,NaN
26,mealv2_efficientnet_b0_imagenet_11,True,NaN,True,NaN
27,tinynet_e_imagenet_11,True,NaN,True,NaN
28,realesrganx2_custom_11,True,NaN,True,NaN
29,ukbiobank_deep_brain_age_ukbiobank_11,True,NaN,True,NaN
30,tinynet_d_imagenet_11,True,NaN,True,NaN
31,ukbiobank_deep_sex_prediction_ukbiobank_11,True,NaN,True,NaN
32,pytorchencoding_deeplab_resnest101_ade_11,True,NaN,True,NaN
33,lungmask_unet_R231CovidWeb_11,True,NaN,True,NaN
34,mealv1_resnest50_imagenet_11,True,NaN,True,NaN
35,stylegan_flickerhq_1024_gen_11,True,NaN,True,NaN
36,starnet_RGB_gan_g_prop_9,True,NaN,True,NaN
37,ghostnet_1x_imagenet_11,True,NaN,True,NaN
38,mealv2_resnest50_380x380_imagenet_11,True,NaN,True,NaN
39,cyclegan_facades_label2photo_g_11,True,NaN,True,NaN
40,hardnet68ds_imagenet_11,True,NaN,True,NaN
41,pytorchencoding_fcn_resnet50s_ade_11,True,NaN,True,NaN
42,taskconditioned_kaist_11,True,NaN,True,NaN
43,seismicdeeplearning_dutchf3_hrnet_patch_patch_depth_11,True,NaN,True,NaN
44,pgan_dtd_disc_11,True,NaN,True,NaN
45,pix2pix_facades_label2photo_g_11,True,NaN,True,NaN
46,pix2pix_sat2map_g_11,True,NaN,True,NaN
47,cyclegan_summer2winter_yosemite_g_11,True,NaN,True,NaN
48,facebook_detr_resnet_50_dc5_coco2017_12,True,NaN,True,NaN
49,pytorchencoding_deeplab_resnest269_pcontext_11,True,NaN,True,NaN
50,deit_small_patch16_224_imagenet_11,True,NaN,True,NaN
51,tinynet_b_imagenet_11,True,NaN,True,NaN
52,compnet_weights_coronal_improvement_08_NITRC_IITmean_b0_256_12,True,NaN,True,NaN
53,cyclegan_style_monet_g_11,True,NaN,True,NaN
54,realesrganx8_custom_11,True,NaN,True,NaN
55,resnet18_places365_11,True,NaN,True,NaN
56,resnet50_fractalDB10k_11,True,NaN,True,NaN
57,resnet50_fractalDB1k_11,True,NaN,True,NaN
58,deit_tiny_patch16_224_imagenet_11,True,NaN,True,NaN
59,pix2pix_edges2handbags_g_11,True,NaN,True,NaN
60,lungmask_unet_R231_11,True,NaN,True,NaN
61,yolov5s_v40_coco2017_12,True,NaN,True,NaN
62,lungmask_unet_LTRCLobes_11,True,NaN,True,NaN
63,stylegan_flickerhq_1024_disc_11,True,NaN,True,NaN
64,pgan_celebahq_256_disc_11,True,NaN,True,NaN
65,mealv2_resnest50_cutmix_imagenet_11,True,NaN,True,NaN
66,hardnet68_imagenet_11,True,NaN,True,NaN
67,stackganv2_imagenet_11,True,NaN,True,NaN
68,pytorchencoding_deeplab_resnest50_pcontext_11,True,NaN,True,NaN
69,densenet161_places365_11,True,NaN,True,NaN
70,pix2pix_edges2shoes_g_11,True,NaN,True,NaN
71,deit_base_distilled_patch16_384_imagenet_11,True,NaN,True,NaN
72,seismicdeeplearning_penobscot_hrnet_patch_section_depth_11,True,NaN,True,NaN
73,starnet_Greyscale_gan_d_prop_9,True,NaN,True,NaN
74,starnet_Greyscale_gan_g_prop_9,True,NaN,True,NaN
75,unet_lgg_mri_segmentation_11,True,NaN,True,NaN
76,mealv2_mobilenetv3_small_100_imagenet_11,True,NaN,True,NaN
77,yolov5m_v40_coco2017_12,True,NaN,True,NaN
78,pytorchencoding_deeplab_resnest101_pcontext_11,True,NaN,True,NaN
79,alexnet_places365_11,True,NaN,True,NaN
80,cyclegan_orange2apple_g_11,True,NaN,True,NaN
81,dcgan_fashiongencloth_disc_11,True,NaN,True,NaN
82,cyclegan_style_cezanne_g_11,True,NaN,True,NaN
83,hardnet85_imagenet_11,True,NaN,True,NaN
84,cyclegan_iphone2dslr_flower_g_11,True,NaN,True,NaN
85,cyclegan_facades_photo2label_g_11,True,NaN,True,NaN
86,seismicdeeplearning_dutchf3_seresnetunet_patch_section_depth_11,True,NaN,True,NaN
87,dcgan_fashiongencloth_gen_11,True,NaN,True,NaN
88,pytorchencoding_deeplab_resnest269_ade_11,True,NaN,True,NaN
89,yolov5x_v40_coco2017_12,True,NaN,True,NaN
90,pytorchencoding_fcn_resnest50_ade_11,True,NaN,True,NaN
91,seismicdeeplearning_dutchf3_hrnet_patch_section_depth_11,True,NaN,True,NaN
92,pytorchencoding_deeplab_resnest200_pcontext_11,True,NaN,True,NaN
93,cyclegan_zebra2horse_g_11,True,NaN,True,NaN
94,midas_redweb_diml_movies_megadepth_wsvd_tartanair_hrwsi_apolloscape_blendedmvs_irs_11,True,NaN,True,NaN
95,yolov5l_v40_coco2017_12,True,NaN,True,NaN
96,cyclegan_winter2summer_yosemite_g_11,True,NaN,True,NaN
97,compnet_weights_sagittal_improvement_09_NITRC_IITmean_b0_256_12,True,NaN,True,NaN
98,facebook_detr_resnet_50_coco2017_12,True,NaN,True,NaN
99,pgan_celebahq_256_gen_11,True,NaN,True,NaN
100,starnet_RGB_gan_d_prop_9,True,NaN,True,NaN
101,mediapipe_face_detection_front_proprietary_11,True,NaN,True,NaN
102,facebook_detr_resnet_50_panoptic_coco2017_12,True,NaN,True,NaN
103,pgan_celeba_cropped_disc_11,True,NaN,True,NaN
104,deit_base_distilled_patch16_224_imagenet_11,True,NaN,True,NaN
105,deit_small_distilled_patch16_224_imagenet_11,True,NaN,True,NaN
106,deit_tiny_distilled_patch16_224_imagenet_11,True,NaN,True,NaN
107,cyclegan_style_vangogh_g_11,True,NaN,True,NaN
108,pix2pix_day2night_g_11,True,NaN,True,NaN
109,cyclegan_monet2photo_g_11,True,NaN,True,NaN
110,cyclegan_style_ukiyoe_g_11,True,NaN,True,NaN
111,resnet50_places365_11,True,NaN,True,NaN
112,cyclegan_cityscapes_photo2label_g_11,True,NaN,True,NaN
113,pytorchencoding_deeplab_resnest50_ade_11,True,NaN,True,NaN
114,cyclegan_horse2zebra_g_11,True,NaN,True,NaN
115,mealv2_resnest50_imagenet_11,True,NaN,True,NaN
116,ntsnet_cub2002011_11,True,NaN,True,NaN
117,torchxrayvision_densenet121_nih_11,True,NaN,True,NaN
118,torchxrayvision_resnet101_elastic_ae_padchest_nih_chexpert_mimic_nb_mimic_ch_11,True,NaN,True,NaN
119,torchxrayvision_densenet121_mimic_nb_11,True,NaN,True,NaN
120,torchxrayvision_densenet121_kaggle_11,True,NaN,True,NaN
121,torchxrayvision_densenet121_pc_11,True,NaN,True,NaN
122,torchxrayvision_resnet50_512_all_11,True,NaN,True,NaN
123,torchxrayvision_densenet121_chex_11,True,NaN,True,NaN
124,torchxrayvision_densenet121_mimic_ch_11,True,NaN,True,NaN
125,torchxrayvision_densenet121_all_11,True,NaN,True,NaN
126,timm_tf_mobilenetv3_small_100_imagenet_11,True,NaN,True,NaN
127,timm_gluon_senet154_imagenet_11,True,NaN,True,NaN
128,timm_dpn68b_imagenet_11,True,NaN,True,NaN
129,timm_tf_efficientnet_el_imagenet_11,True,NaN,True,NaN
130,timm_efficientnet_es_pruned_imagenet_11,True,NaN,True,NaN
131,timm_tf_efficientnet_b6_ap_imagenet_11,True,NaN,True,NaN
132,timm_tf_efficientnet_b3_ap_imagenet_11,True,NaN,True,NaN
133,timm_tf_efficientnet_b7_ap_imagenet_11,True,NaN,True,NaN
134,timm_ecaresnet101d_pruned_imagenet_11,True,NaN,True,NaN
135,timm_tf_efficientnet_b6_imagenet_11,True,NaN,True,NaN
136,timm_visformer_small_imagenet_11,True,NaN,True,NaN
137,timm_hardcorenas_f_imagenet_11,True,NaN,True,NaN
138,timm_res2net50_14w_8s_imagenet_11,True,NaN,True,NaN
139,timm_tf_mixnet_s_imagenet_11,True,NaN,True,NaN
140,timm_hrnet_w40_imagenet_11,True,NaN,True,NaN
141,timm_resnext50d_32x4d_imagenet_11,True,NaN,True,NaN
142,timm_tf_efficientnet_lite1_imagenet_11,True,NaN,True,NaN
143,timm_regnetx_160_imagenet_11,True,NaN,True,NaN
144,timm_regnety_120_imagenet_11,True,NaN,True,NaN
145,timm_tf_mobilenetv3_large_minimal_100_imagenet_11,True,NaN,True,NaN
146,timm_gluon_resnet50_v1b_imagenet_11,True,NaN,True,NaN
147,timm_gernet_s_imagenet_11,True,NaN,True,NaN
148,timm_efficientnet_b2_imagenet_11,True,NaN,True,NaN
149,timm_tf_efficientnet_b8_ap_imagenet_11,True,NaN,True,NaN
150,timm_tf_mixnet_l_imagenet_11,True,NaN,True,NaN
151,timm_tf_efficientnetv2_l_in21k_imagenet21k_e_11,True,NaN,True,NaN
152,timm_regnety_040_imagenet_11,True,NaN,True,NaN
153,timm_rexnet_100_imagenet_11,True,NaN,True,NaN
154,timm_repvgg_b2_imagenet_11,True,NaN,True,NaN
155,timm_rexnet_200_imagenet_11,True,NaN,True,NaN
156,timm_xception65_imagenet_11,True,NaN,True,NaN
157,timm_hrnet_w18_imagenet_11,True,NaN,True,NaN
158,timm_gluon_resnet34_v1b_imagenet_11,True,NaN,True,NaN
159,timm_gluon_xception65_imagenet_11,True,NaN,True,NaN
160,timm_repvgg_b0_imagenet_11,True,NaN,True,NaN
161,timm_dla102_imagenet_11,True,NaN,True,NaN
162,timm_gluon_resnext50_32x4d_imagenet_11,True,NaN,True,NaN
163,timm_twins_svt_large_imagenet_11,True,NaN,True,NaN
164,timm_regnetx_320_imagenet_11,True,NaN,True,NaN
165,timm_tf_mobilenetv3_large_100_imagenet_11,True,NaN,True,NaN
166,timm_efficientnet_b1_imagenet_11,True,NaN,True,NaN
167,timm_efficientnetv2_rw_m_imagenet_11,True,NaN,True,NaN
168,timm_regnetx_120_imagenet_11,True,NaN,True,NaN
169,timm_resnest26d_imagenet_11,True,NaN,True,NaN
170,timm_repvgg_b3_imagenet_11,True,NaN,True,NaN
171,timm_repvgg_b1g4_imagenet_11,True,NaN,True,NaN
172,timm_regnetx_080_imagenet_11,True,NaN,True,NaN
173,timm_mobilenetv3_large_100_miil_in21k_imagenet21k_p_11,True,NaN,True,NaN
174,timm_tf_efficientnet_lite2_imagenet_11,True,NaN,True,NaN
175,timm_rexnet_130_imagenet_11,True,NaN,True,NaN
176,timm_tf_efficientnetv2_b1_imagenet_11,True,NaN,True,NaN
177,timm_regnetx_016_imagenet_11,True,NaN,True,NaN
178,timm_tf_efficientnet_b1_imagenet_11,True,NaN,True,NaN
179,timm_tf_efficientnetv2_m_in21ft1k_imagenet_11,True,NaN,True,NaN
180,timm_resnet101d_imagenet_11,True,NaN,True,NaN
181,timm_regnetx_008_imagenet_11,True,NaN,True,NaN
182,timm_resnetrs200_imagenet_11,True,NaN,True,NaN
183,timm_twins_pcpvt_large_imagenet_11,True,NaN,True,NaN
184,timm_tf_efficientnet_b0_ap_imagenet_11,True,NaN,True,NaN
185,timm_ecaresnet26t_imagenet_11,True,NaN,True,NaN
186,timm_legacy_seresnet18_imagenet_11,True,NaN,True,NaN
187,timm_mobilenetv2_120d_imagenet_11,True,NaN,True,NaN
188,timm_tf_efficientnetv2_s_in21k_imagenet21k_e_11,True,NaN,True,NaN
189,timm_repvgg_b3g4_imagenet_11,True,NaN,True,NaN
190,timm_dpn107_imagenet_11,True,NaN,True,NaN
191,timm_regnetx_064_imagenet_11,True,NaN,True,NaN
192,timm_hardcorenas_e_imagenet_11,True,NaN,True,NaN
193,timm_mixnet_m_imagenet_11,True,NaN,True,NaN
194,timm_cspresnext50_imagenet_11,True,NaN,True,NaN
195,timm_tf_efficientnetv2_m_imagenet_11,True,NaN,True,NaN
196,timm_tf_efficientnet_b2_ns_imagenet_11,True,NaN,True,NaN
197,timm_dla60x_c_imagenet_11,True,NaN,True,NaN
198,timm_tf_efficientnetv2_l_in21ft1k_imagenet_11,True,NaN,True,NaN
199,timm_dpn68_imagenet_11,True,NaN,True,NaN
200,timm_gernet_m_imagenet_11,True,NaN,True,NaN
201,timm_mobilenetv3_large_100_miil_imagenet_11,True,NaN,True,NaN
202,timm_repvgg_a2_imagenet_11,True,NaN,True,NaN
203,timm_resnest101e_imagenet_11,True,NaN,True,NaN
204,timm_legacy_seresnet152_imagenet_11,True,NaN,True,NaN
205,timm_repvgg_b1_imagenet_11,True,NaN,True,NaN
206,timm_skresnet34_imagenet_11,True,NaN,True,NaN
207,timm_tf_efficientnetv2_m_in21k_imagenet21k_e_11,True,NaN,True,NaN
208,timm_mobilenetv3_large_100_imagenet_11,True,NaN,True,NaN
209,timm_resnetrs50_imagenet_11,True,NaN,True,NaN
210,timm_dla60_imagenet_11,True,NaN,True,NaN
211,timm_ecaresnet101d_imagenet_11,True,NaN,True,NaN
212,timm_mobilenetv2_110d_imagenet_11,True,NaN,True,NaN
213,timm_hrnet_w18_small_imagenet_11,True,NaN,True,NaN
214,timm_cspdarknet53_imagenet_11,True,NaN,True,NaN
215,timm_tf_efficientnetv2_l_imagenet_11,True,NaN,True,NaN
216,timm_seresnext26d_32x4d_imagenet_11,True,NaN,True,NaN
217,timm_hrnet_w30_imagenet_11,True,NaN,True,NaN
218,timm_hardcorenas_d_imagenet_11,True,NaN,True,NaN
219,timm_tf_efficientnet_b0_imagenet_11,True,NaN,True,NaN
220,timm_resnet34d_imagenet_11,True,NaN,True,NaN
221,timm_resnet26_imagenet_11,True,NaN,True,NaN
222,timm_pit_s_224_imagenet_11,True,NaN,True,NaN
223,timm_tf_efficientnet_l2_ns_imagenet_11,True,NaN,True,NaN
224,timm_pit_xs_224_imagenet_11,True,NaN,True,NaN
225,timm_ecaresnetlight_imagenet_11,True,NaN,True,NaN
226,timm_seresnext26t_32x4d_imagenet_11,True,NaN,True,NaN
227,timm_mixnet_l_imagenet_11,True,NaN,True,NaN
228,timm_efficientnet_es_imagenet_11,True,NaN,True,NaN
229,timm_dla102x_imagenet_11,True,NaN,True,NaN
230,timm_spnasnet_100_imagenet_11,True,NaN,True,NaN
231,timm_swsl_resnet50_imagenet_11,True,NaN,True,NaN
232,timm_dla34_imagenet_11,True,NaN,True,NaN
233,timm_selecsls60b_imagenet_11,True,NaN,True,NaN
234,timm_regnety_064_imagenet_11,True,NaN,True,NaN
235,timm_regnety_002_imagenet_11,True,NaN,True,NaN
